Infraestructura Educativa,,,,,,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Escuela,Ubicación,Director,Alumnos,Nivel,Descripción Nivel,Clase,Descripción Clase
322,Residencial Plaza Guadalupe,5A,Escuela de Fútbol Chivas Chapalita,Av. Moctezuma 6970-B,,,8,Otros,2,Privado
323,Residencial Poniente,4,,,,,,Desconocido,,Desconocido
323,Residencial Poniente,4,"PREESCOLAR ""INSTITUTO CUMBRES SAN JAVIER"" T/M","CALZADA DEL SERVIDOR PUBLICO 3030
",,,2,Preescolar,2,Privado
323,Residencial Poniente,4,"Preescolar ""Quetzalli"" ",José Ma. Gil. y Circuito Federalistas,,,2,Preescolar,2,Privado
323,Residencial Poniente,4,"PRIMARIA ""LAZARO CARDENAS DEL RIO"" T/M","AVENIDA CENTRAL 405, TEL. 38321421
",,,3,Primaria,1,Público
323,Residencial Poniente,4,"PRIMARIA "" 18 DE MARZO"" T/V","AVENIDA CENTRAL 405, TEL. 36364928

",,,3,Primaria,1,Público
323,Residencial Poniente,4,"PRIMARIA ""INSTITUTO CUMBRES SAN JAVIER"" T/M","CALZADA DEL SERVIDOR PUBLICO 3030, TEL. 38321929

",,,3,Primaria,2,Privado
323,Residencial Poniente,4,"SECUNDARIA ""INSTITUTO CUMBRES SAN JAVIER"" T/M","CALZADA DEL SERVIDOR PUBLICO, TEL. 38321929

",,,4,Secundaria,2,Privado
323,Residencial Poniente,4,INSTITUTO CUMBRES SAN JAVIER,CALZADA DEL SERVIDOR PUBLICO,,,5,Educación Media,2,Privado
323,Residencial Poniente,4,CENTRO DE DESARROLLO INFANTIL 1,AVENIDA CENTRAL 615,,,8,Otros,1,Público
324,Residencial Victoria,6,"Preescolar ""W.R.Hamilton Scohol""","Obsidiana Nª 2510,  Tel. 36290470, 36293966 y 31214489",Dir. Mtra. Edna Segoviano Mejia,,2,Preescolar,2,Privado
324,Residencial Victoria,6,Preescolar “Francisco Gabilondo Soler”,"Agua Marina Nº 3286, Tel. 31221833",Dir. Silvia Padilla Mora,,2,Preescolar,2,Privado
324,Residencial Victoria,6,"Preescolar ""Luis Pérez Verdia""",Lapizlazuli N° 2905,,,2,Preescolar,2,Privado
324,Residencial Victoria,6,Preescolar Estatal “Instituto Cabañas”,"Av. Mariano Otero Nº 2145, Tel. 36310262 Escuela de Timpo Completo",Dir. Adriana Reynoso Becerra..,,2,Preescolar,1,Público
324,Residencial Victoria,6,"Preescolar, Centro de Educación Especial","Brillante Nº 2673, Tel. 36348806",Dir. Ma. Concepción Guadalupe Tapia Venegas,,2,Preescolar,2,Privado
324,Residencial Victoria,6,"Preescolar, Instituto ""Verde Valle""",Obsidiana N° 2630,,,2,Preescolar,2,Privado
324,Residencial Victoria,6,Centro Educativo Siembra S. C.,"Obsidiana Nº 2519, Tel. 35636025 /27, www.siembra.edu.mx, Estimulación Temprana, Preescolar y Pre-First.",,,2,Preescolar,2,Privado
324,Residencial Victoria,6,Preescolar Centro Educativo Ma. C. Bancalari,"Lapizlazuli N° 2871, tel. 36317051",,,2,Preescolar,2,Privado
324,Residencial Victoria,6,"Primaria, Instituto ""Verde Valle""",Obsidiana N° 2630,,,3,Primaria,2,Privado
324,Residencial Victoria,6,Primaria “Colegio Militarizado Jalisciense”  T/M,"Lapislázuli Nº 2921, ",Dir. Juana Valdez López,,3,Primaria,,Desconocido
324,Residencial Victoria,6,"Primaria Urbana 868 ""Instituto Cabañas"" Internado ","Av. Mariano Otero No. 2145, Tel. 36310262 Programa Escuela tiempo Completo",Dir. Mtra. María Consuelo Aguila Díaz,,3,Primaria,1,Público
324,Residencial Victoria,6,"Primaria Centro Educativo"" Ma. C. Bancalari""","AVENIDA OBSIDIANA 2871, Tel. 36317051",,,3,Primaria,2,Privado
324,Residencial Victoria,6,Primaria “W. R. Hamilton Scohol”  T/M,"Obsidiana Nº 2510, Plantel Victoria, Tel. 36290470, 36293966 y 31214489",Dir. Mtra.Edna Segiviano Mejía,,3,Primaria,2,Privado
324,Residencial Victoria,6,Primaria Centro de Educación Especial,"Brillante Nº 2673, Tel. 36348806",,,3,Primaria,2,Privado
324,Residencial Victoria,6,Primaria “Juan Amos Comenius”  T/M,"Esmeralda Nº 2940, Tel. 36320242 y 36205116",Dir. Claudia Beatriz García Haro,,3,Primaria,2,Privado
324,Residencial Victoria,6,"SECUNDARIA ""CENTRO EDUCATIVO JOSE CLEMENTE OROZCO"" T/M","TURQUESA 1885, TEL. 36288130

",,,4,Secundaria,2,Privado
324,Residencial Victoria,6,"Secundaria ""W.R. Hamilton Scohol""","Obsidiana N° 2510, Plantel victoria, tel. 36290470, 36293966 y 31214489",,,4,Secundaria,2,Privado
324,Residencial Victoria,6,Secundaria Centro de Educación Especial,"Brillante Nº 2673, Tel. 36348806",,,4,Secundaria,2,Privado
324,Residencial Victoria,6,"Secundaria, Instituto ""Verde Valle"" T/M","Obsidiana N° 2630, TEL. 31228057
",,,4,Secundaria,2,Privado
324,Residencial Victoria,6,"Universidad de la Cienega, Lic. en Gastronomia","Obsidiana Nº 2861, Tel. 31332601/02",,,6,Universidad,2,Privado
324,Residencial Victoria,6,"Inglish Academy""","Lapizlazuli N° 2867, Tel. 36320624",,,8,Otros,2,Privado
324,Residencial Victoria,6,"""Instituto American Word Ingles""","Lapislázuli Nº 2821, Tel. 36313383",Dir. Jesús Salazar Bello,,8,Otros,2,Privado
324,Residencial Victoria,6,Colegio Superior de Acupuntura,"Obsiduiana N° 1609, Telefono 35639778 www.colegiodeacumuntura.edu.mx",,,8,Otros,2,Privado
325,Rinconada del Auditorio,2A,"PREESCOLAR ""WOLFGANG AMADEUS MOZART"" T/M","AVENIDA MARIANO BARCENAS 2185
",,,2,Preescolar,2,Privado
325,Rinconada del Auditorio,2A,Inexistente,,,,99,NINGUNO,99,NINGUNO
327,Rinconada Del Iris,8,Inexistente,,,,99,NINGUNO,99,NINGUNO
329,Rinconada del Sol,6,Preescolar “Colegio Guadalajara”,"Av. López Mateos Nº 2199 (entre Cubilete y Ahuehuetes), Tel. 31212240",Dir. Lic. Gabriela Mercado García de Alba,,2,Preescolar,2,Privado
329,Rinconada del Sol,6,Primaria “Colegio Guadalajara”  T / Mat,"Av. López Mateos Nº 2199 (entre Cubilete y Ahuehuetes), Tel. 31212240",Dir. Lic. Marcela  García de la Cueva,,3,Primaria,2,Privado
329,Rinconada del Sol,6,Secundaria “Colegio Guadalajara”,"Av. López Mateos Nº 2199 (entre Cubilete y Ahuehuetes), Tel. 31212240",Dir. Lic. José Luis Bustamante Penilla,,4,Secundaria,2,Privado
329,Rinconada del Sol,6,Preparatoria “Colegio Guadalajara” T/M,"Av. López Mateos Nº 2199 (entre Cubilete y Ahuehuetes), Tel. 31212240",Dir. Lic. María Rostro Rivera,,5,Educación Media,2,Privado
329,Rinconada del Sol,6,Preparatoria  UNE Condoplaza (Semiescolarizado),"Av. del Sol Nº 287-B, Tel. 36472066",Dir. Lic. Arturo Rufino Briseño Loza,,5,Educación Media,2,Privado
329,Rinconada del Sol,6,Universidad  UNE (Acacías),"Rinconada de los Ahuehuetes Nº 3309 esq. Rinconada de las Acacias y Av del Sol, Tel. 35639899 - 88",Dir. Lic. Marría Guadalupe Estrada del Río,,6,Universidad,2,Privado
329,Rinconada del Sol,6,Universidad Interamericana para el Desarrollo,Av. López Mateos y Rinconada de los Ahuehutes,,,6,Universidad,2,Privado
329,Rinconada del Sol,6,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO CAMPUS GUADALAJARA,AVENIDA LOPEZ MATEOS SUR 2221,,,8,Otros,2,Privado
329,Rinconada del Sol,6,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO CAMPUS GUADALAJARA,AVENIDA LOPEZ MATEOS SUR 2221,,,8,Otros,2,Privado
329,Rinconada del Sol,6,Quick Lecrning,Av. del sol  (Condo Plaza),,,8,Otros,2,Privado
330,Rinconada La Azalea,1B,Inexistente,,,,99,NINGUNO,99,NINGUNO
331,Rinconada del Valle,5A,Inexistente,,,,99,NINGUNO,99,NINGUNO
332,Rinconada de la Calma,6,"Guardería ""Centro de Educación Integral""","Av. La Calma s/n y Navio, Tel. 36342279",,,1,Inicial / Guarderia,2,Privado
332,Rinconada de la Calma,6,"Preescolar ""Colegio Cervantes""",Av. Champagnet,,,2,Preescolar,2,Privado
332,Rinconada de la Calma,6,"Preescolar ""Colegio Mexico Nuevo""",Av. Montecarlos y La Calma. Tel. 35375450,,,2,Preescolar,2,Privado
332,Rinconada de la Calma,6,"Preescolar ""Loma Bonita"" A. C.",Perla N°3890 y Quebrada,,,2,Preescolar,2,Privado
332,Rinconada de la Calma,6,"Preescolar "" Centro de Educación Integral""",Av. La Calma S/N y  Navio,,,2,Preescolar,2,Privado
332,Rinconada de la Calma,6,"Primaria ""Colegio Cervantes""","Av. Montecarlos y La Calma, Tel. 36375450",,,3,Primaria,2,Privado
332,Rinconada de la Calma,6,"Primaria ""Colegio Cervantes""",Hidalgo S/N y Lazaro Cárdenas,,,3,Primaria,2,Privado
332,Rinconada de la Calma,6,"PRIMARIA ""COLEGIO MEXICO NUEVO"" T/M","MONTEMORELOS 3403, TEL. 36311259

",,,3,Primaria,2,Privado
332,Rinconada de la Calma,6,"Secundaria ""Colegio México Nuevo"" T/M","Av. Montemorelos 3403 y La Calma, TEL. 35875450
",,,4,Secundaria,2,Privado
332,Rinconada de la Calma,6,"Bachillerato ""Colegio México Nuevo""",Av. Montemorelos y La Calma,,,5,Educación Media,2,Privado
332,Rinconada de la Calma,6,Universidad  Marista de Guadalajara,Champagnat N° 281,,,6,Universidad,2,Privado
332,Rinconada de la Calma,6,"CENCALLI, escuela de natación","Champagnat N° 2845-A, tel. 36320130",,,8,Otros,2,Privado
333,Rinconada de la Joya,6,inexistente,,,,99,NINGUNO,99,NINGUNO
334,Rinconada las Palmas,3,"Preescolar ""Pestalozzi""",Av. Valdepeñas No. 8450 Tel. 38.34.18.02,Dir. María Penelope Aguiñia Damían,,2,Preescolar,2,Privado
334,Rinconada las Palmas,3,"Secundaria ""Técnica No.160"" ",Oasis y Dunas,,,4,Secundaria,1,Público
335,Rinconada de Santa Rita,5B,"Preescolar ""Centro Escolar Los Altos""","Los Pinos Nº 50, Tel. 38130640",Dir. Mayela Beatriz Margarita Vizcaino Cook,,2,Preescolar,2,Privado
335,Rinconada de Santa Rita,5B,"Preescolar ""Ferreire""",Manuel Acuña  No. 3702,,,2,Preescolar,2,Privado
335,Rinconada de Santa Rita,5B,Primaria “Centro Escolar Los Altos” T/M,"Los Pinos Nº 50, Tel. 38130640",Dir. Patricia Caballero Ocampo Bodet,,3,Primaria,2,Privado
335,Rinconada de Santa Rita,5B,Primaria “Centro Escolar Vespertina Los Altos” T/V,"Los Pinos Nº 50, Tel. 38130640",Dir. Patricia Cuellar Chávez,,3,Primaria,2,Privado
335,Rinconada de Santa Rita,5B,"Secundaria Particular ""Centro Escolar Los Altos"" T/M","Los Pinos Nº 50, TEL. 36485370
",Dir. Lic. Laura Hassón Landeros,,4,Secundaria,2,Privado
337,Río Blanco,RN,Preescolar Federal “Amado Nervo”,Independencia Nº 6380,Dir. Herlinda Reynaga Flores Sánchez,,2,Preescolar,1,Público
337,Río Blanco,RN,"Primaria Federal, “Mariano Azuela” T/M",Independencia 6400,Dir. Amalia Castro Haro,,3,Primaria,1,Público
337,Río Blanco,RN,Tele Secundaria “Leona Vicario”,Independencia No. 1400 y 1480-A,Dir. Tomasa Galadiz Cienfuegos,,4,Secundaria,1,Público
337,Río Blanco,RN,LEONA VICARIO,CONOCIDO,,,4,Secundaria,2,Privado
338,Roberto Orozco,RS,"Preescolar "" Instituto Francisco I. Madero""","Don Bosco Nª 31, Tel. 36494472 y 38970759",Dir. Mtra. Irma Becerra Ramírez,,2,Preescolar,2,Privado
338,Roberto Orozco,RS,Primaria “Instituto Francisco I. Madero”  T/M,"Don Bosco Nº 31, Tel. 36494472 y 38970759",Dir. Verónica Magaña Aguilar,,3,Primaria,2,Privado
338,Roberto Orozco,RS,"Secundaria  ""Instituto Francisco  I. Madero""","Don Bosco Nº 31, Tel. 38970759",Dir. Prof. Gabriel Zarate Casillas,,4,Secundaria,2,Privado
339,"Robles, Los",3,"Primaria ""Ramón López Velarde"" T/M","Calle 8 Nº 475, Tel. 36368838 y 38244596",Dir. Martha Patricia García Rico,225,3,Primaria,1,Público
339,"Robles, Los",3,"Universidad  Hospital/Escuela  ""Facultad de Medicina UAG""","Dr. Ángel de Leaño Nº 500 esq. Av. Juan Gil Preciado, Tel. 36488723 y 36488722",,,6,Universidad,2,Privado
340,"Rodeo, El",RS,Inexistente,,,,99,NINGUNO,99,NINGUNO
341,Royal Country,5B,Inexistente,,,,99,NINGUNO,99,NINGUNO
342,San Bernardo,5B,Inexistente,,,,99,NINGUNO,99,NINGUNO
343,San Esteban,RN,Preescolar Federal “Pil Tzin”,"Felipe Ángeles Nº 111, Tel. 36258100",Dir. Lourdes Maribel Sánchez Ortega,,2,Preescolar,1,Público
343,San Esteban,RN,"Primaria ""Lazaro Cárdenas"" T/V",La Villa N° 926 e Hidalgo,,,3,Primaria,1,Público
343,San Esteban,RN,"Primaria ""Emiliano Zapata"" T/M",La Villa N° 926 e Hidalgo,,,3,Primaria,1,Público
343,San Esteban,RN,Tele Secundaria “Mariano Azuela”,"Calle Hidalgo Nª2, Tel. 36254142",Dir. J. Jesús Rodolfo Andalón Velásquez,230,4,Secundaria,1,Público
343,San Esteban,RN,MARIANO AZUELA,CONOCIDO,,,4,Secundaria,1,Público
344,San Francisco,1A,"PREESCOLAR ""FRIDA KAHLO"" T/M","PROLONGACION MELCHOR OCAMPO 500
",,,2,Preescolar,2,Privado
344,San Francisco,1A,"PREESCOLAR ""CENTRO EDUCATIVO JUAN M BOSCO OCCHIENA"" T/M","DON BOSCO 31
",,,2,Preescolar,2,Privado
344,San Francisco,1A,"Escuela Primaria ""Calmecac"" T/M y T/V","Fray Francisco Lorenzo, tel. 36330341
",,,3,Primaria,1,Público
344,San Francisco,1A,"PRIMARIA ""CENTRO EDUCATIVO JUAN M BOSCO OCCHIENA"" T/M","DON BOSCO 31, TEL. 38970759

",,,3,Primaria,2,Privado
344,San Francisco,1A,"Escuela Primaria ""Vigia"" T/M","Fray Francisco Lorenzo 100, TEL. 38332739
",,,3,Primaria,1,Público
344,San Francisco,1A,"SECUNDARIA ""CENTRO EDUCATIVO JUAN M BOSCO OCCHIENA"" T/M","DON BOSCO 31, TEL. 38970759

",,,4,Secundaria,2,Privado
345,San Isidro Ejidal,1A,"Preescolar Federal ""Eva Briseño”","Sabino Delgado Nº 945, Tel. 36566489",Dir. Gloria Campos Vídriales,,2,Preescolar,1,Público
345,San Isidro Ejidal,1A,"Primaria ""Valentin Gómez Farías""  T/M",Francisco Sarabia No. 624 Tel. 36.36.32.62,Dir. Luz Delia Guerra Salcedo,,3,Primaria,1,Público
345,San Isidro Ejidal,1A,"Primaria ""Ignacio Zaragoza"" T/M","Cuitlahuac Nº 427, Tel. 33365681",Dir. María Concepción García Martínez,,3,Primaria,,Desconocido
345,San Isidro Ejidal,1A,"PRIMARIA ""AMADO RUIZ SANCHEZ"" T/V","CONOCIDO
",,,3,Primaria,1,Público
345,San Isidro Ejidal,1A,"Primaria Lazaro Cardenas del Rio, T/V","Villa # 826, TEL. 36332988
",,,3,Primaria,1,Público
345,San Isidro Ejidal,1A,Primaria “Ignacio Allende” T/M,Km. 15 Carretera a Saltillo,Dir. Miguel Ángel Villanueva Lizarraga,,3,Primaria,,Desconocido
345,San Isidro Ejidal,1A,"Primaria ""Ignacio Zaragoza"" T/V","Cuitlahuac Nº 427, Tel. 33365681 

",Dir. Petra Cordova López,,3,Primaria,,Desconocido
345,San Isidro Ejidal,1A,Primaria Emiliano Zapata T/M,"Villa # 826, TEL. 36331613
",,,3,Primaria,1,Público
346,San Isidro Poblado,RN,Preescolar Federal “Quetzalcoatl”,Calle Santa Paula ,Dir. Silvia Patricia Ángel Martínez,,2,Preescolar,1,Público
346,San Isidro Poblado,RN,"Primaria ""Ignacio Allende""","Carretera Ex-hacienda del Lazo, TEL. 31752258
",,,3,Primaria,1,Público
347,San José del Bajio,1A,"PREESCOLAR ""MOCTEZUMA"" T/M","AVENIDA FOVISSSTE 330
",,,2,Preescolar,1,Público
347,San José del Bajio,1A,Primaria Federal “José Ma. Morelos y Pavón”  T/M,Oro Nº 139,Dir. Lilia Espinosa Núñez,,3,Primaria,1,Público
348,San José Ejidal,RS,Preescolar Federal “María Trinidad Martínez Yáñez”,San Vicente entre Magdalena y San Miguel,Dir. María Elena Jiménez Toledo,,2,Preescolar,1,Público
348,San José Ejidal,RS,Primaria “República Mexicana”  T/M,"San Antonio Nº 3458, Tel. 36634879 y 36368838",Dir. Profa. Livuer Aguayo Flores ,,3,Primaria,1,Público
349,San Juan de Ocotán,4,"Preescolar ""Rosaura Zapata""",Libertad N° 217,,,2,Preescolar,2,Privado
349,San Juan de Ocotán,4,"Preescolar ""Nueva Creación""",San Juan N°185,,,2,Preescolar,1,Público
349,San Juan de Ocotán,4,"PREESCOLAR ""JUAN BOSCO"" T/M","AVENIDA AVIACION 3245
",,,2,Preescolar,2,Privado
349,San Juan de Ocotán,4,"PREESCOLAR ""EFRAIN GONZALEZ LUNA"" T/M","RAMON CORONA 2418
",,,2,Preescolar,2,Privado
349,San Juan de Ocotán,4,"Preescolar ""Alfredo V. Bonfil"" T/M  y T/V",Angulo y Sonora,,,2,Preescolar,1,Público
349,San Juan de Ocotán,4,"Preescolar ""Monfessori""",Ocampo N° 175 e Independencia,,,2,Preescolar,2,Privado
349,San Juan de Ocotán,4,"PREESCOLAR ""INSTITUTO TEPEYAC CAMPUS GUADALAJARA"" T/M","OCAMPO 389
",,,2,Preescolar,2,Privado
349,San Juan de Ocotán,4,"Primaria ""J. de J. González Gallo"" T/V",Libertad N° 230 y Angulo,,,3,Primaria,1,Público
349,San Juan de Ocotán,4,"PRIMARIA ""COLEGIO ONCE MEXICO"" T/M","AVENIDA DEL BAJIO 1134, TEL. 36821160
",,,3,Primaria,2,Privado
349,San Juan de Ocotán,4,"PRIMARIA, ""INSTITUTO TEPEYAC CAMPUS GUADALAJARA"" T/M","OCAMPO 389, TEL. 36295014

",,,3,Primaria,2,Privado
349,San Juan de Ocotán,4,"PRIMARIA ""JUAN BOSCO"" T/M","AVENIDA AVIACION 3245, TEL. 31655610

",,,3,Primaria,2,Privado
349,San Juan de Ocotán,4,"Primaria ""Vicente Guerrero""  T/M",Libertad N° 230 y Angulo,,,3,Primaria,1,Público
349,San Juan de Ocotán,4,"Primaria ""Emiliano Zapata Tierra y Libertad""",Francisco I. Madero N° 86,,,3,Primaria,1,Público
349,San Juan de Ocotán,4,"SECUNDARIA ""INSTITUTO TEPEYAC CAMPUS GUADALAJARA"" T/M","OCAMPO 389, TEL. 36295014

",,,4,Secundaria,2,Privado
349,San Juan de Ocotán,4,"SECUNDARIA ""JUAN BOSCO"" T/M","AVENIDA AVIACION 3245, TEL. 31655610

",,,4,Secundaria,2,Privado
349,San Juan de Ocotán,4,"SECUNDARIA ""COLEGIO ONCE MEXICO"" T/M","AVENIDA DEL BAJIO 1134, TEL. 36821160

",,,4,Secundaria,2,Privado
349,San Juan de Ocotán,4,"SECUDNARIA ""JUAN JOSE ARREOLA"" T/M y T/V","AVIACION 6916, TEL. 36820813

",,,4,Secundaria,1,Público
349,San Juan de Ocotán,4,Preparatoria N° 15 UdG,5 de mayo y Períferico,,,5,Educación Media,1,Público
349,San Juan de Ocotán,4,"Preparatoria  ""E. Militar Esp. De Fuerza Aérea""","Base Aérea Militar Nº 5, Tel. 30330731",,,5,Educación Media,,Desconocido
349,San Juan de Ocotán,4,"Educación Especial ""Centro de Atención Múltiple (CAM)"" ""San Juan de ocotan""","Hidalgo Nº 87, (entre Ocampo y Juan Diego), Tel. 31100730",Dir. María de la Milagrosa Orozco González,90,7,Centro de Educación Especial,1,Público
350,San Lorenzo,RN,"Prescolar ""Juan de la Barrera""",Hidalgo s/n,,,2,Preescolar,1,Público
350,San Lorenzo,RN,Primaria “Juan de la Barrera”  T/M,"Hidalgo s/n, TEL. 32851036
",Dir. Jaime Politrón Reyes,,3,Primaria,1,Público
353,San Miguel Tateposco,RN,Preescolar Federal “Manuel López Cotilla”,Emiliano Zapata Nº 15,Dir. Selene Patricia Lupercio Calderón,,2,Preescolar,1,Público
353,San Miguel Tateposco,RN,"PRIMARIA ""MARGARITA MAZA DE JUAREZ"" T/M","HIDALGO 154, TEL. 36254354

",,,3,Primaria,1,Público
353,San Miguel Tateposco,RN,Primaria Federal “Oblatos”  T/M,"Maestro Nº 37, Tel. 36254313",Dir. Cristina Martínez González,,3,Primaria,1,Público
354,San Nicolás de los Belenes,2A,"Preescolar ""Nunutzi""",Paseo Sabinos y Paseo Limas,,,2,Preescolar,2,Privado
354,San Nicolás de los Belenes,2A,"Preescolar ""Isidro Castillo Pérez"" T/M","Paseo Sabinos, entre Limas y Galateas",,,2,Preescolar,1,Público
354,San Nicolás de los Belenes,2A,"Primaria ""Nunutzi""",Paseo Sabinos y Paseo Limas,,,3,Primaria,2,Privado
354,San Nicolás de los Belenes,2A,Primaria Federal Felipe Carrillo Puerto T/M,"Paseo Galateas, entre Palmeras y Sabinos",,,3,Primaria,1,Público
354,San Nicolás de los Belenes,2A,Primaria Federal Mariano Azuela T/V,"Paseo Galateas, entre Palmeras y Sabinos",,,3,Primaria,1,Público
356,Santa Ana Tepetitlán,8,"Dif, CDI Nº 8 ""María Jaime Franco""","Morelos Nº 30, Tel. 36844658","Dir. Martha Angelica Álvarez Castañeda, Programa Estatal.",,1,Inicial / Guarderia,1,Público
356,Santa Ana Tepetitlán,8,Preescolar “Yolotl”  T/V,Aquiles Serdan Nº 68,Dir. Silvia Hernández Torres,,2,Preescolar,,Desconocido
356,Santa Ana Tepetitlán,8,Preescolar “Coatlicue”  T/M,Aquiles Serdan Nº 68,Dir. Ana Erica Trigos García,172,2,Preescolar,,Desconocido
356,Santa Ana Tepetitlán,8,Primaria Federal “Justo Sierra”  T / Ves,"Pino Suárez Nº 126, Tel. 36121787",Dir. J. Ángel Ramírez Guardado,,3,Primaria,1,Público
356,Santa Ana Tepetitlán,8,"Primaria Federal ""Justo Sierra""  T / Mat","Pino Suárez Nº 126, Tel. 36121787",Dir. Gregorio Mejía Vélez,,3,Primaria,1,Público
356,Santa Ana Tepetitlán,8,Primaria Estatal “Josefa Ortiz de Domínguez”  T/M,"iturbide s/n entre Hidalgo y Morelos, Tel. 33447026",Dir. Ma. Refugio González de la Torre,,3,Primaria,1,Público
356,Santa Ana Tepetitlán,8,Primaria Estatal “Educadores Jaliscienses”  T / Ves,"Iturbide s/n, entre Hidalgo y Morelos, , Tel. 31886302",Dir. María del Carmen Trinidad Pérez,,3,Primaria,1,Público
356,Santa Ana Tepetitlán,8,Primaria Estatal “Miguel Hidalgo”  T/M,"Aquiles Serdan, Tel. 31886302",Dir. Patricia M. Zavala Arreola,,3,Primaria,1,Público
356,Santa Ana Tepetitlán,8,"Primaria Federal ""Felipe Carrillo Puerto""  T/N","Pino Suárez Nº 126, Tel. 36121787",Dir. Susana Ma. del Rayo Cárdenas Arechiga,,3,Primaria,1,Público
356,Santa Ana Tepetitlán,8,Primaria Estatal Urbana Nº 633 “Miguel Hidalgo”  T/V,"Aquiles Serdan”, Tel. 31886302 y 36179989",Dir. Cesáreo Murillo Rodríguez,,3,Primaria,1,Público
356,Santa Ana Tepetitlán,8,Secundaria Estatal “Lázaro Cárdenas del Río” T/MAT-VESP,"Pino Suárez Nº 105, Tel. 36844555",Dir. Mariana Alcalá Dueñas,,4,Secundaria,1,Público
356,Santa Ana Tepetitlán,8,"Academia Municipal "" Santa Ana Tepetitlán ""","Camino Nacional S/N y calle Francisco I. Madero, Tel. 38182200 Ext. 3865 y 3866
Cursos CORTE Y CONFECCIÓN E INGLES",C. Martha Rodríguez Leal,,8,Otros,1,Público
357,Santa Catalina,6,CTCI - Centro de Tecnología Computacional e Idiomas,Moctezuma N° 514,,,5,Educación Media,2,Privado
358,Santa Fé,1A,Preescolar “Colegio American Academy”,"Sofía Camarena Nº 38, Tel. 36365002",Dir. Lic. Martha Patricia Ríos Ferrer,,2,Preescolar,2,Privado
358,Santa Fé,1A,Preescolar Federal “J. Manuel Ruvalcaba de la Mora” T/M,General Arteaga Nº 70 y Calle Gpe. Victoria Tel. 36364049,Dir. Margarita Covarrubias de la Torre,,2,Preescolar,1,Público
358,Santa Fé,1A,Primaria “Colegio American Academy” T/M,"Sofía Camarena Nº 38, Tel. 36365002",Dir. Lic. Martha Patricia Ríos Ferrer,,3,Primaria,2,Privado
358,Santa Fé,1A,"SECUNDARIA ""OCTAVIO PAZ"" T/M","SOFIA CAMARENA DE JIMENEZ 38, TEL. 33649898

",,,4,Secundaria,2,Privado
358,Santa Fé,1A,Secundaria “Colegio American Academy”,"Sofía Camarena Nº 38, Tel. 36365002",Dir. Lic. Martha Patricia Ríos Ferrer,,4,Secundaria,2,Privado
360,Santa Lucía,RS,"Preescolar Federal ""Yoloxochitl”  T/M",Carretera a Nextipac No. 6,Dir. Dora María Pérez Ortega,188,2,Preescolar,1,Público
360,Santa Lucía,RS,"PREESCOLAR ""JEAN PIAGET"" T/M y T/V",MORELOS 28,,,2,Preescolar,2,Privado
360,Santa Lucía,RS,"Preescolar Federal ""Yoloxochitl”  T/V",Carretera a Nextipac No. 6,Dir. Gloria González Córdova,188,2,Preescolar,1,Público
360,Santa Lucía,RS,Primaria Federal “Manuel M. Dieguez”  T/M,"Hidalgo Nº 152, Tel. 33658468",Dir. Ma. Gregoria Loera Contreras,,3,Primaria,1,Público
360,Santa Lucía,RS,Primaria Federal “Rubén Rodríguez Lomelí”  T/V,"Hidalgo Nº 152, Tel. 38970454",Dir. Moisés Villagrana Villagrana,,3,Primaria,1,Público
360,Santa Lucía,RS,Secundaria Técnica Federal Nº 39 T/MAT-VESP,"Morelos Nº 59, Tel. 38970520",Dir. Ernesto Pérez Martínez,"1,433",4,Secundaria,1,Público
360,Santa Lucía,RS,Escuela de Belleza y Computación EBC,"Morelos 35-C, Tel. 38335050",Apdo Legal Ramiro Ramírez Rodríguez,,8,Otros,2,Privado
360,Santa Lucía,RS,"Escuela ""Computación Empresarial"" T/M","Juan Manuel Ruvalcaba No. 151, Tel. 38972922",Apdo. Legal Juan Rubio Aguirre ,,8,Otros,2,Privado
361,Santa Margarita 1ra. Sección,1A,Preescolar Federal “Citlalli”  T/M,"Santa Laura Nº 177, Tel. 36337605",Dir. Ma. de Lourdes Espinosa Brambila,168,2,Preescolar,1,Público
361,Santa Margarita 1ra. Sección,1A,Preescolar Federal “Citlalli”  T/V,"Santa Laura Nº 177, Tel. 36563843",Dir. Celina Bobadilla Zavala,,2,Preescolar,1,Público
361,Santa Margarita 1ra. Sección,1A,"PREESCOLAR ""JOSEFA ORTIZ DE DOMINGUEZ"" T/M","SANTA PAULA 133 B
",,,2,Preescolar,2,Privado
361,Santa Margarita 1ra. Sección,1A,"PREESCOLAR ""JOSE VASCONCELOS"" T/M","SANTA CATALINA 286
",,,2,Preescolar,2,Privado
361,Santa Margarita 1ra. Sección,1A,"Preescolar Federal ""Federico Froebel”  T/M","Santa Esther Nº 20, Tel. 38334264",Dir. María. A. Patricia Nuño Arana,205,2,Preescolar,1,Público
361,Santa Margarita 1ra. Sección,1A,"PREESCOLAR ""ANTONIO CASO ZAPOPAN"" T/M","SANTA LAURA 5050
",,,2,Preescolar,2,Privado
361,Santa Margarita 1ra. Sección,1A,Primaria Estatal “Reforma de 1857”  T/V,"Santa Clara Nº 493, Tel. 36533105",Dir. Rosa María Madrid Gallardo,,3,Primaria,1,Público
